,data_url,neighborhood,code_postal
0,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Humber-Bay/33-Shore-Breeze-Dr/83854942.html,Humber Bay,M8V 0G1
1,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Curran-Hall/1151-Markham-Rd/85799236.html,Curran Hall,M1H2Y5
2,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/King-West-Village/Liberty-Market-Tower/85649986.html,King West Village,M6K 3P6
3,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/King-West-Village/51-East-Liberty-St/85319469.html,King West Village,M6K3P8
4,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Newtonbrook/7-Bishop-Ave/83805375.html,--,--
5,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/West-Deane-Park/Central-Etobicoke/85243822.html,West Deane Park,M9C 5E5
6,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Bloordale-West-Mall/Lake-Town-Urban-Townhomes/86557282.html,Bloordale - West Mall,M8V2C7
7,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Mimico/36-Park-Lawn-Rd/83805312.html,--,--
8,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Islington-Village/102-Resurrection-Road/86999199.html,Islington Village,M9A5H1
9,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Bay-Street-Corridor/Sky-Tower-One-Yonge-Condos-11-Yonge-Street/86526155.html,Bay Street Corridor,M5E 1W7
10,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Mimico/250-Manitoba-St/85243803.html,Mimico,M8Y4G8
11,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Entertainment-District/No-55-Mercer-Condos/85825900.html,Entertainment District,M5V 9G9
12,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/West-End-Toronto/High-Park/280-Keele-Street-/85914340.html,High Park,M6P 2K4
13,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Regent-Park-Trefann-Court/20-Tubman-Ave/83504324.html,Regent Park - Trefann Court,M5A 0M5
14,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Garden-District/88-Queen-Condos/85826116.html,Garden District,M5C 1S1
15,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Bay-Street-Corridor/955-Bay-Street/85800854.html,Bay Street Corridor,M5S 0C6
16,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Cityplace/85-Queens-Wharf-Rd/85246442.html,Cityplace,M5V 0J9
17,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Fort-York/30-Ordnance-St/84388604.html,Fort York,M6K1A2
18,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Islington-Village/130-Resurrection-Road/84039230.html,Islington Village,M9A 5H1
19,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/Roncesvalles/62-Lynd-Avenue/86999225.html,Roncesvalles,M6R 1T9
20,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Sunnylea/2855-Bloor-Street-W-/80433860.html,Sunnylea,M8X3A1
21,https://www.point2homes.com//CA/Home-For-Sale/ON/Toronto/The-Queensway/175-Norseman-St/85243796.html,The Queensway,M8Z0E6
22,https://www.point2homes.com//CA/Condo-For-Sale/ON/Toronto/Mimico/250-Manitoba-St/83805315.html,--,--
