,address,long,lat,data_url,price_$CAN,beds,baths,sqft,type
0,"33 Shore Breeze Dr, Toronto, Ontario",-79.478979,43.623426,/CA/Condo-For-Sale/ON/Toronto/Humber-Bay/33-Shore-Breeze-Dr/83854942.html,"$649,000 CAD",1 Bed,1 Bath,699 Sqft,Condo
1,"1151 Markham Rd., Toronto, Ontario",-79.231107,43.776168,/CA/Condo-For-Sale/ON/Toronto/Curran-Hall/1151-Markham-Rd/85799236.html,"$542,990 CAD",1 Bed,1 Bath,678 Sqft,Condo
2,"Liberty Market Tower, Toronto, Ontario",-79.417796,43.638325,/CA/Condo-For-Sale/ON/Toronto/King-West-Village/Liberty-Market-Tower/85649986.html,"$600,000 CAD",--,--,--,Condo
3,"51 East Liberty St, Toronto, Ontario",-79.412811,43.638563,/CA/Condo-For-Sale/ON/Toronto/King-West-Village/51-East-Liberty-St/85319469.html,"$499,000 CAD",1 Bed,1 Bath,--,Condo
4,"7 Bishop Ave, Toronto, Ontario",-79.414311,43.781737,/CA/Condo-For-Sale/ON/Toronto/Newtonbrook/7-Bishop-Ave/83805375.html,"$637,000 CAD",2 Beds,1 Bath,1399 Sqft,Condo
5,"Central Etobicoke, Toronto, Ontario",-79.5602,43.6609,/CA/Home-For-Sale/ON/Toronto/West-Deane-Park/Central-Etobicoke/85243822.html,"$1,150,000 CAD",3 Beds,2 Baths,--,Residential
6,"Lake & Town Urban Townhomes, Etobicoke, Ontario",-79.5656,43.6436,/CA/Home-For-Sale/ON/Toronto/Bloordale-West-Mall/Lake-Town-Urban-Townhomes/86557282.html,"$625,000 CAD",2 Beds,2 Baths,900 Sqft,Townhouse
7,"36 Park Lawn Rd, Toronto, Ontario",-79.484151,43.623604,/CA/Condo-For-Sale/ON/Toronto/Mimico/36-Park-Lawn-Rd/83805312.html,"$539,000 CAD",1 Bed,1 Bath,599 Sqft,Condo
8,"102 Resurrection Road, Toronto, Ontario",-79.3849,43.6529,/CA/Home-For-Sale/ON/Toronto/Islington-Village/102-Resurrection-Road/86999199.html,"$799,000 CAD",2 Beds,1 Bath,--,Townhouse
9,"Sky Tower One Yonge Condos - 11 Yonge Street, Toronto, Ontario",-79.3849,43.6529,/CA/Home-For-Sale/ON/Toronto/Bay-Street-Corridor/Sky-Tower-One-Yonge-Condos-11-Yonge-Street/86526155.html,"$769,900 CAD",1 Bed,1 Bath,550 Sqft,Apartment
10,"250 Manitoba St, Toronto, Ontario",-79.489962,43.624447,/CA/Condo-For-Sale/ON/Toronto/Mimico/250-Manitoba-St/85243803.html,"$729,000 CAD",2 Beds,2 Baths,--,Condo
11,"No 55 Mercer Condos, Toronto, Ontario",-79.391724,43.645299,/CA/Home-For-Sale/ON/Toronto/Entertainment-District/No-55-Mercer-Condos/85825900.html,"$600,000 CAD",--,--,--,Residential
12,"280 Keele Street , Toronto, Ontario",-79.464562,43.665248,/CA/Home-For-Sale/ON/Toronto/West-End-Toronto/High-Park/280-Keele-Street-/85914340.html,"$1,498,000 CAD",6 Beds,3 Baths,--,Single family
13,"20 Tubman Ave, Toronto, Ontario",-79.359362,43.660605,/CA/Condo-For-Sale/ON/Toronto/Regent-Park-Trefann-Court/20-Tubman-Ave/83504324.html,"$595,000 CAD",1 Bed,1 Bath,730 Sqft,Condo
14,"88 Queen Condos, Toronto, Ontario",-79.374653,43.65368,/CA/Condo-For-Sale/ON/Toronto/Garden-District/88-Queen-Condos/85826116.html,"$600,000 CAD",--,--,--,Condo
15,"955 Bay Street 8TH, Toronto, Ontario",-79.38698,43.664777,/CA/Condo-For-Sale/ON/Toronto/Bay-Street-Corridor/955-Bay-Street/85800854.html,"$670,000 CAD",1 Bed,1 Bath,583 Sqft,Condo
16,"85 Queens Wharf Rd, Toronto, Ontario",-79.398839,43.638833,/CA/Condo-For-Sale/ON/Toronto/Cityplace/85-Queens-Wharf-Rd/85246442.html,"$485,000 CAD",--,1 Bath,--,Condo
17,"30 Ordnance St, Toronto, Ontario",-79.409769,43.639732,/CA/Condo-For-Sale/ON/Toronto/Fort-York/30-Ordnance-St/84388604.html,"$699,000 CAD",1 Bed,1 Bath,699 Sqft,Condo
18,"130 Resurrection Road, Toronto, Ontario",-79.531388,43.644483,/CA/Home-For-Sale/ON/Toronto/Islington-Village/130-Resurrection-Road/84039230.html,"$789,000 CAD",3 Beds,2 Baths,--,Townhouse
19,"62 Lynd Avenue, Toronto, Ontario",-79.449065,43.651321,/CA/Home-For-Sale/ON/Toronto/Roncesvalles/62-Lynd-Avenue/86999225.html,"$1,198,000 CAD",3 Beds,2 Baths,--,Single family
20,"2855 Bloor Street W  209, Toronto, Ontario",-79.500319,43.649532,/CA/Condo-For-Sale/ON/Toronto/Sunnylea/2855-Bloor-Street-W-/80433860.html,"$1,269,000 CAD",2 Beds,2 Baths,--,Condo
21,"175 Norseman St, Toronto, Ontario",-79.521797,43.633355,/CA/Home-For-Sale/ON/Toronto/The-Queensway/175-Norseman-St/85243796.html,"$1,029,900 CAD",3 Beds,3 Baths,--,Residential
22,"250 Manitoba St, Toronto, Ontario",-79.489962,43.624447,/CA/Condo-For-Sale/ON/Toronto/Mimico/250-Manitoba-St/83805315.html,"$567,900 CAD",1 Bed,1 Bath,799 Sqft,Condo
23,"14 York St, Toronto, Ontario",-79.381571,43.641877,/CA/Condo-For-Sale/ON/Toronto/Cityplace/14-York-St/83805369.html,"$630,000 CAD",1 Bed,1 Bath,599 Sqft,Condo
24,"215 Fort York Blvd, Toronto, Ontario",-79.404867,43.636608,/CA/Condo-For-Sale/ON/Toronto/Fort-York/215-Fort-York-Blvd/83504083.html,"$839,000 CAD",2 Beds,2 Baths,820 Sqft,Condo
25,"18 kenaston Gardens, Toronto, Ontario",-79.386148,43.76582,/CA/Home-For-Sale/ON/Toronto/Bayview-Village/18-kenaston-Gardens/85799248.html,"$489,000 CAD",1 Bed,1 Bath,--,Apartment
26,"1213 Glencairn Ave, Toronto, Ontario",-79.46304,43.704867,/CA/Home-For-Sale/ON/Toronto/Glen-Park/1213-Glencairn-Ave/85319459.html,"$1,388,000 CAD",3 Beds,4 Baths,--,Residential
27,"94 Purpledusk Tr, Toronto, Ontario",-79.2083023,43.7849766,/CA/Home-For-Sale/ON/Toronto/Seven-Oaks-Morningside/94-Purpledusk-Tr/81603528.html,"$799,000 CAD",4 Beds,3 Baths,--,Residential
