,address,long,lat,data_url,price_$CAN,beds,baths,sqft,type
483,"1 The Esplanade Ave Toronto, Toronto, Ontario",-79.376143,43.645695,/CA/Home-For-Sale/ON/Toronto/Downtown-Toronto/St-Lawrence/1-The-Esplanade-Ave-Toronto/85866581.html,"$899,000 CAD",2 Beds,2 Baths,899 Sqft,Residential
216,"10 Capreol Crt, Toronto, Ontario",-79.395637,43.640346,/CA/Condo-For-Sale/ON/Toronto/Cityplace/10-Capreol-Crt/87411993.html,"$799,900 CAD",2 Beds,2 Baths,750 Sqft,Condo
614,"10 Stonehill Crt Toronto Ontario M1W2X8, Toronto, Ontario",-79.313968,43.794908,/CA/Home-For-Sale/ON/Toronto/L-Amoreaux/10-Stonehill-Crt-Toronto-Ontario-M1W2X8/75988848.html,"$439,800 CAD",3 Beds,2 Baths,1300 Sqft,Apartment
3,"280 Keele Street , Toronto, Ontario",-79.464562,43.665248,/CA/Home-For-Sale/ON/Toronto/West-End-Toronto/High-Park/280-Keele-Street-/85914340.html,"$1,498,000 CAD",6 Beds,3 Baths,--,Single family
4,"108 Bartley Drive, Toronto, Ontario",-79.3101748,43.7222951,/CA/Home-For-Sale/ON/Toronto/Victoria-Park-Village/108-Bartley-Drive/87394444.html,"$995,900 CAD",--,--,--,Townhouse
5,"130 Resurrection Road, Toronto, Ontario",-79.531388,43.644483,/CA/Home-For-Sale/ON/Toronto/Islington-Village/130-Resurrection-Road/84039230.html,"$789,000 CAD",3 Beds,2 Baths,--,Townhouse
6,"102 Resurrection Road, Toronto, Ontario",-79.3849,43.6529,/CA/Home-For-Sale/ON/Toronto/Islington-Village/102-Resurrection-Road/86999199.html,"$799,000 CAD",2 Beds,1 Bath,--,Townhouse
450,"100 Harbour St, Toronto, Ontario",-79.379316,43.641709,/CA/Home-For-Sale/ON/Toronto/Harbourfront/100-Harbour-St/86769955.html,"$728,000 CAD",1 Bed,1 Bath,599 Sqft,Residential
25,"102 Madison Avenue, Toronto, Ontario",-79.404949,43.671848,/CA/Home-For-Sale/ON/Toronto/The-Annex/102-Madison-Avenue/87381960.html,"$4,750,000 CAD",6 Beds,7 Baths,4676 Sqft,Residential
385,"1029 King St W Toronto, Toronto, Ontario",-79.416262,43.640994,/CA/Home-For-Sale/ON/Toronto/King-West-Village/1029-King-St-W-Toronto/86557579.html,"$599,900 CAD",1 Bed,1 Bath,799 Sqft,Residential
28,"1030 King Street West, Toronto, Ontario",-79.415993,43.64163,/CA/Condo-For-Sale/ON/Toronto/King-West-Village/1030-King-Street-West/87327583.html,"$599,900 CAD",1 Bed,1 Bath,699 Sqft,Condo
586,"11 Brunel Crt, Toronto, Ontario",-79.393735,43.639272,/CA/Home-For-Sale/ON/Toronto/Cityplace/11-Brunel-Crt/85604956.html,"$678,000 CAD",1 Bed,1 Bath,699 Sqft,Residential
